beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,beschreibung_quelle
Hochschuldozent/in,2310,30.0,37.0,Bildung,130000,Tertiär,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,Hochschullehrkraft für Journalistik,"Hochschullehrkräfte für Journalistik und Medien sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, Journalistik und Medien, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet der Journalistik Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",ESCO
Elektriker/in EFZ,7411,30.0,3.0,Bau,80000,Sekundär II,http://data.europa.eu/esco/occupation/33960bab-4423-4808-af6c-ec2b485dba41,Bauelektriker/Bauelektrikerin,"Bauelektriker installieren und warten Stromkabel und andere elektrische Infrastrukturen in Gebäuden. Sie stellen sicher, dass Elektroinstallationen isoliert sind und dass keine Brandgefahr von ihnen ausgeht. Sie führen Bestandsaufnahmen durch und nehmen auf Anforderung Verbesserungen vor.",ESCO
Informatiker/in EFZ (Applikationsentwicklung),2512,30.0,12.0,ICT,105000,Sekundär II,http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e,Informatiker/Informatikerin,"Informatiker führen Forschungsarbeiten auf dem Gebiet der Computer- und Informationswissenschaft durch, um grundlegende Aspekte von IKT-Phänomenen besser zu verstehen. Sie verfassen Forschungsberichte und -vorschläge. Außerdem finden und entwickeln Informatiker neue Ansätze in der Computertechnologie, entdecken innovative Anwendungen für bestehende Technologien sowie Studien und lösen komplexe Probleme auf ihrem Gebiet.",ESCO
Maurer/in EFZ,7112,30.0,2.0,Bau,72000,Sekundär II,http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7,Maurer/Maurerin,"Maurer bauen Steinmauern und Steinbauten, indem sie die Steine in einem festen Muster aufeinanderschichten und sie mit einem Bindemittel wie Zement aneinanderfügen. Anschließend füllen sie die Fugen mit Mörtel oder anderen geeigneten Materialien.",ESCO
"Reinigungs- und Hauswirtschaftleiter und -kräfte in Büros, Hotels und anderen Einrichtungen",5151,29.4,86.7,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/303a1e34-cb16-4054-b323-81e5eec17397,Gebäudereiniger Innenreinigung/Gebäudereinigerin Innenreinigung,"Gebäudereiniger Innenreinigung bewahren die Sauberkeit und die Gesamtfunktionen verschiedener Gebäudetypen, wie Büros, Krankenhäuser und öffentlicher Einrichtungen. Sie führen Reinigungsarbeiten durch, wie Kehren, Saugen und Wischen von Fußböden, Leeren von Mülleimern und Kontrolle von Sicherheitssystemen, Schlössern und Fenstern. Gebäudereiniger Innenreinigung prüfen Klimaanlagen und unterrichten die entsprechenden Personen bei Funktionsstörungen oder Problemen.",ESCO
Verkaufsfachkräfte,3322,29.2,35.6,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/547b304b-9a72-4717-9b24-b7046df5f64e,Fachverkäufer/Fachverkäuferin,Fachverkäufer verkaufen Waren in Fachgeschäften.,ESCO
Technische Zeichner,3118,28.3,26.4,Industrie,88000,Sekundär II,http://data.europa.eu/esco/occupation/a4869ae9-2dfe-48cc-bd97-f803880f3407,Technischer Zeichner/Technische Zeichnerin,"Technische Zeichner erstellen mithilfe von Spezialsoftware oder manuellen Techniken technische Zeichnungen, aus denen die Konstruktion oder Funktionsweise einer Sache hervorgeht.",ESCO
Kraftfahrzeugmechaniker und -schlosser,7231,28.0,6.0,Industrie,78000,Sekundär II,http://data.europa.eu/esco/occupation/aaa485d0-6787-45c0-8596-b266c0b687fd,Schloss- und Schlüsselmacher/Schloss- und Schlüsselmacherin,Schloss- und Schlüsselmacher installieren und reparieren mit Spezialwerkzeugen mechanische und elektronische Schließsysteme. Sie stellen Zweitschlüssel für ihre Kunden her und öffnen in Notfällen verschlossene Türen. Bisweilen leisten Schloss- und Schlüsselmacher auch Beratung zu Sicherheitsvorkehrungen.,ESCO
Projektleiter/in (allg.),2421,28.0,32.0,Verwaltung,120000,Tertiär,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,Projektmanager/Projektmanagerin,"Projektmanager/Projektmanagerinnen stellen sicher, dass ein Projekt rechtzeitig und ohne Budgetüberschreitung abgeschlossen wird und die Projektziele erreicht werden. Sie beaufsichtigen das Projekt, leiten das Team, stellen sicher, dass die effizientesten Ressourcen eingesetzt werden, und sorgen dafür, dass alle Beteiligten zufrieden sind.",ESCO
Versicherungskaufmann/-frau,3312,28.0,50.0,Versicherungen,88000,Sekundär II,http://data.europa.eu/esco/occupation/9a39a143-d93c-4093-ba3b-47fb67ade318,Versicherungssachbearbeiter/Versicherungssachbearbeiterin,"Versicherungssachbearbeiter nehmen bei einem Versicherungsunternehmen, einer anderen Dienstleistungseinrichtung, einem selbständigen Versicherungsmakler oder einem Makler einer staatlichen Einrichtung allgemeine Sekretariats- und Verwaltungsaufgaben wahr. Sie bieten Kunden Hilfestellung und Informationen über Versicherungen an und verwalten die Unterlagen von Versicherungsverträgen.",ESCO
Koch/Köchin EFZ,3434,28.0,35.0,Gastgewerbe,58000,Sekundär II,http://data.europa.eu/esco/occupation/a256838b-0843-4ad2-a2fb-4531f94e63d8,Privatkoch/Privatköchin,"Privatköche bereiten unter Einhaltung von Lebensmittel- und Hygienevorschriften Mahlzeiten für ihre Arbeitgeber zu. Sie berücksichtigen die Unverträglichkeiten ihres Arbeitgebers in Bezug auf bestimmte Inhaltsstoffe und seine Vorlieben und kochen im Wohnhaus des Arbeitgebers. Bisweilen werden Privatköche auch aufgefordert, bei besonderen Anlässen gemeinschaftliche Abendessen oder andere Feierlichkeiten auszurichten.",ESCO
