beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,beschreibung_quelle
Maschinenführer/in,8211,15.0,15.0,Industrie,62000,Sekundär II,http://data.europa.eu/esco/occupation/71a98a24-e02b-4ba6-b4df-6556d7ae98cc,Maschinenführer in der Papierwarenerzeugung/Maschinenführerin in der Papierwarenerzeugung,"Maschinenführer in der Papierwarenerzeugung arbeiten mit Maschinen, die einen oder mehrere Vorgänge an Papier durchführen, um es für bestimmte Märkte geeignet zu machen, z. B. Lochen, Perforieren, Falten und Überziehen mit einer Kohlenstoffschicht.",ESCO
Posthalter/in / Logistiker/in Post,4415,15.0,42.0,Transport,68000,Sekundär II,http://data.europa.eu/esco/occupation/96430121-2757-4e96-9d6f-7517b25db4f7,Haussitter/Haussitterin,"Haussitter wohnen vorübergehend im Haus ihres Arbeitgebers, um die Sicherheit der Immobilie während dessen Abwesenheit zu wahren. Sie überwachen die Eingangsbereiche und verhindern, dass Unbefugte das Haus betreten. Sie inspizieren den Zustand des Gebäudes, z. B. die Rohrleitungen und die Heizungsanlage, und setzen sich bei Bedarf mit Reparaturbetrieben in Verbindung. Bisweilen übernehmen Haussitter auch Reinigungstätigkeiten, leiten Post weiter und bezahlen Rechnungen.",ESCO
Leitende Verwaltungsbedienstete,1112,14.2,43.0,Verwaltung,150000,Tertiär,http://data.europa.eu/esco/occupation/94e0bedd-e56e-42be-a5a4-b74a260f437c,Abteilungsleiter/Abteilungsleiterin,"Abteilungsleiter/Abteilungsleiterinnen sind für die Tätigkeit einer bestimmten Einheit oder Abteilung eines Unternehmens verantwortlich. Sie sorgen dafür, dass die Ziele und Vorgaben erreicht werden und verwalten das Personal.",ESCO
Bauingenieur/in,2142,14.0,18.0,Bau,115000,Tertiär,http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,Bauingenieur/Bauingenieurin,,ESCO
"Bäcker, Konditoren und Konfektmacher",7512,14.0,52.5,Landwirtschaft,54000,Sekundär II,http://data.europa.eu/esco/occupation/e00c46c4-bd3c-4d88-8d30-fc6f951554bd,Konfektmacher/Konfektmacherin,"Konfektmacher stellen eine Vielzahl von Kuchen, Süßwaren und anderen Konfektwaren zu industriellen Zwecken oder zum Direktvertrieb her.",ESCO
Apotheker/in,2262,14.0,72.0,Gesundheit,110000,Tertiär,http://data.europa.eu/esco/occupation/7c132147-428b-4ea3-87e1-70f7abb691ce,Apotheker/Apothekerin,"Apotheker/Apothekerinnen bereiten Arzneimittel zu, geben Arzneimittel ab und verkaufen frei erhältliche Arzneimittel. Sie bieten klinische Informationen über Arzneimittel, berichten über vermutete Nebenwirkungen und bieten Patientinnen/Patienten personalisierte Unterstützung. Apotheker/Apothekerinnen formulieren und testen Arzneimittel in Laboren, lagern sie, konservieren sie und geben sie ab.",ESCO
Pharmazeutische Techniker und Assistenten,3213,13.8,94.1,Gesundheit,68000,Sekundär II,http://data.europa.eu/esco/occupation/7b74626d-b487-48a1-9e80-47faf9928210,Pharmazeutisch-technische Assistent/Pharmazeutisch-technische Assistentin,"Pharmazeutisch-technische Assistenten kontrollieren unter der Aufsicht eines Apothekers eingehende Waren. Sie überwachen die Arzneimittelbestände und kümmern sich um die ordnungsgemäße Lagerung. Sofern dies nach nationalem Recht zulässig ist, geben sie Medikamente aus und leisten Beratung zum richtigen Gebrauch.",ESCO
Technische Verkaufsfachkräfte (ohne Informations- und Kommunikationstechnologie),2433,13.7,17.1,Finanzen,115000,Tertiär,http://data.europa.eu/esco/occupation/d19932b3-169a-4cdf-a9cd-bdf8857b0184,Fachkraft technischer Vertrieb Textilmaschinenindustrie,Fachkräfte technischer Vertrieb Textilmaschinenindustrie verkaufen im Auftrag eines Unternehmens Produkte und erklären den Kunden deren technische Funktionsweise.,ESCO
Automatiker und verwandte Berufe,7412,13.2,4.5,Industrie,72000,Sekundär II,http://data.europa.eu/esco/occupation/8467dda9-34c6-4c6f-aa37-e7bddffac007,Angehöriger der mit der Gesundheit von Wassertieren befassten Berufe/Angehörige der mit der Gesundheit von Wassertieren befassten Berufe,"Angehörige der mit der Gesundheit von Wassertieren befassten Berufe diagnostizieren, verhindern und behandeln Erkrankungen, Verletzungen und Fehlfunktionen bei Wassertieren, indem sie geeignete Probenahmeprotokolle anwenden. Sie überwachen die Verwendung von Arzneimitteln, einschließlich Impfstoffen, erheben Daten über die Gesundheit von Fischen und erstatten dem entsprechenden Personal regelmäßig Bericht. Sie können eine breite Palette von Wassertieren versorgen oder sich auf die Behandlung einer bestimmten Gruppe oder ein bestimmtes Fachgebiet spezialisieren. Sie können das Personal in Fischfarmen über bewährte Verfahren in Bezug auf die Gesundheit und das Wohlbefinden der Kultur beraten, unterstützen und schulen.",ESCO
"Uhrmacher, Uhrenarbeiter, Mikromechaniker",7311,13.1,56.0,Industrie,76000,Sekundär II,http://data.europa.eu/esco/occupation/11eb55d3-4dbe-45c5-a6ce-f04ae843c938,Uhrmacher/Uhrmacherin,Uhrmacher stellen mechanische oder elektronische Uhren her. Sie verwenden manuelle oder automatisierte Präzisionswerkzeuge zur Montage von Zeitmessgeräten. Bisweilen führen Uhrmacher auch Reparaturen aus. Sie arbeiten in Werkstätten oder in Fabriken.,ESCO
Bürokräfte in der Transportwirtschaft und verwandte Berufe,4323,12.7,21.4,Verwaltung,65000,Sekundär II,http://data.europa.eu/esco/occupation/6c999fc7-c6b7-4ef3-a4b9-af124a1783a2,Büroassistent/Büroassistentin,"Büroassistenten übernehmen Büro- und Verwaltungsaufgaben in Büros und unterstützen den Geschäftsbetrieb innerhalb einer Abteilung. Sie gehen allen Verwaltungsbeschäftigten, Sekretariatskräften und Assistenten zur Hand, indem sie Korrespondenz ordnen, Formulare und Dokumente ausfüllen, Telefonanrufe entgegennehmen, Kunden in Empfang nehmen, Sitzungstermine planen und Getränke servieren.",ESCO
Sekretariatsfachkräfte im Gesundheitswesen,3344,12.7,97.7,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/045f05f2-4ff8-46b2-9d08-e12a81657498,medizinischer Sekretär/medizinische Sekretärin,"Medizinische Sekretäre arbeiten sehr eng mit Angehörigen der Gesundheitsberufe zusammen. Sie helfen bei Bürotätigkeiten, z. B. beim Schriftverkehr, bei Terminvereinbarungen und bei der Beantwortung von Patientenfragen.",ESCO
Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie,1330,12.4,12.5,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/3c136897-4e0e-41ef-bb57-d8152323b93a,Führungskraft für Unternehmensdienstleistungen,"Führungskräfte für Unternehmensdienstleistungen sind für die Erbringung professioneller Dienstleistungen an Unternehmen zuständig. Sie organisieren die Erbringung maßgeschneiderter Dienstleistungen und tauschen sich mit den Kunden aus, um die vertraglichen Verpflichtungen beider Parteien zu vereinbaren.",ESCO
Verkaufsaufsichtskräfte in Handelsgeschäften,5222,12.2,63.9,Detailhandel,56000,Sekundär II,http://data.europa.eu/esco/occupation/bdfb48e0-79dc-4b63-8470-db2e03b37326,Verkaufsaufsichtskraft,"Verkaufsaufsichtskräfte sind für reibungslose Abläufe in Geschäften gemäß den gesetzlichen Vorschriften und den Unternehmensrichtlinien zuständig. Sie beaufsichtigen geschäftliche Tätigkeiten in den Bereichen Budget, Inventar und Kundendienst. Ferner überwachen Verkaufsaufsichtskräfte die Leistung der Mitarbeiter und stellen sicher, dass die Ziele erreicht werden.",ESCO
Fachkräfte für Rechts- und verwandte Angelegenheiten,3411,12.1,65.5,Soziales,72000,Sekundär II,http://data.europa.eu/esco/occupation/bac62d45-bb74-45fa-9b38-a3ebf2095212,Sachbearbeiter für Rechtsangelegenheiten/Sachbearbeiterin für Rechtsangelegenheiten,"Sachbearbeiter für Rechtsangelegenheiten überwachen den Ablauf von Straf- und Zivilsachen von der Eröffnung bis zum Abschluss. Sie überprüfen die Verfahrensakten und den Verfahrensablauf, um die Rechtmäßigkeit der Verfahren sicherzustellen. Außerdem sorgen sie dafür, dass die Verfahrensschritte fristgerecht stattfinden und erst abgeschlossen werden, nachdem alles ordnungsgemäß bearbeitet wurde.",ESCO
Frachtarbeiter und verwandte Berufe,9333,12.0,29.4,Industrie,54000,Keine Ausbildung,http://data.europa.eu/esco/occupation/92371348-ef8f-41ce-9666-c903b57cc8b4,Bediener intermodaler Einrichtungen im Schienenverkehr/Bedienerin intermodaler Einrichtungen im Schienenverkehr,"Bediener intermodaler Einrichtungen im Schienenverkehr helfen beim Verladen von Anhängern und Containern auf Güterwaggons und Fahrgestelle. Sie manövrieren Kombinationen aus Zugmaschinen und Anhängern durch enge Bereiche und im Bereich von Parkplätzen. Sie benutzen eine Computerperipherie an Bord, um mit dem Datenverwaltungssystem vor Ort zu kommunizieren und Güterwaggons zu erkennen.",ESCO
Qualitätsmanager/in,2146,12.0,35.0,Industrie,110000,Tertiär,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,Qualitätsbeauftragter in der Industrie/Qualitätsbeauftragte in der Industrie,"Qualitätsbeauftragte in der Industrie überwachen und kontrollieren die Informationsgüter, indem sie Verfahren für die Einhaltung von Industriestandards festlegen. Sie führen Prüfungen in industriellen Prozessen durch, beraten zu Präventiv- und Korrekturmaßnahmen und sorgen für die Einhaltung der Industriestandards.",ESCO
Steuerberater/in,2412,12.0,42.0,Finanzen,120000,Tertiär,http://data.europa.eu/esco/occupation/50760da6-abc3-424c-b159-8ddf0818e016,Unternehmensbewerter/Unternehmensbewerterin,"Unternehmensbewerter/Unternehmensbewerterinnen bewerten Unternehmen, Unternehmensteile, Aktien, andere Wertpapiere und immaterielle Vermögenswerte, um ihre Kunden beim Treffen strategischer Entscheidungen wie Fusionen und Übernahmen, Rechtsstreitigkeiten, Insolvenz, Einhaltung von Steuervorschriften und Unternehmensumstrukturierung zu unterstützen.",ESCO
Zugbegleiter/in / Lokführer/in,8311,12.0,18.0,Transport,80000,Sekundär II,http://data.europa.eu/esco/occupation/ea034d66-0d35-4891-b82c-6434cad2c76f,Zugbegleiter/Zugbegleiterin,"Zugbegleiter unterstützen die Fahrgäste beim Ein- und Aussteigen. Sie beantworten Fragen der Fahrgäste hinsichtlich der Regeln für den Bahnverkehr und zu Bahnhöfen und erteilen Fahrplanauskünfte. Sie kontrollieren oder verkaufen Einzel- oder Zeitfahrkarten und unterstützen den Leiter des Zugbegleiterteams bei seinen operativen Aufgaben, z. B. in Bezug auf das Schließen der Türen oder eine bestimmte operative Kommunikation. Bei technischen Zwischenfällen und Notfällen sorgen sie für ein sicheres Verhalten der Fahrgäste.",ESCO
Maler/in und Gipser/in EFZ,7131,12.0,5.0,Bau,68000,Sekundär II,http://data.europa.eu/esco/occupation/15620506-fb5d-49cd-87a2-1c9047fb406a,Maler/Malerin,"Maler streichen die Innen- und Außenwände von Gebäuden und anderen Bauwerken an. Dabei verwenden sie Standardfarben auf Latexbasis oder Spezialfarben, um Schutz- und Verschönerungswirkungen zu erzielen. Maler sind für verschiedene Anwendungen von Bürsten, Farbrollern und Farbspritzgeräten ausgebildet.",ESCO
Hotelfachmann/-frau EFZ,5131,12.0,65.0,Gastgewerbe,58000,Sekundär II,http://data.europa.eu/esco/occupation/6ba25e0f-7fb8-4879-a1f9-d4f8945966be,Kameramann/Kamerafrau,"Kameramänner/ Kamerafrauen sind für die visuelle Interpretation des Drehbuchs und sämtliche fotografische Aspekte des Films verantwortlich, einschließlich Bildeinstellungen, Farben, Licht, Stil und Drehorte. Sie geben dem Film bzw. der Fernsehsendung ein optisches Erscheinungsbild und wählen die Drehausrüstung aus, einschließlich der Objektive und Filter. Bildgestaltende Kameramänner/-frauen leiten die Teams an, die die optischen Geräte und die Beleuchtung bedienen. Um die gewünschte Wirkung zu erzielen, arbeiten sie mit dem Film- und Fernsehregisseur/der Film- und Fernsehregisseurin zusammen.",ESCO
Datenwissenschaftler/in / Data Scientist,2514,12.0,22.0,ICT,135000,Tertiär,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,Datenwissenschaftler/Datenwissenschaftlerin,"Datenwissenschaftler finden und interpretieren reichhaltige Datenquellen, verwalten große Datenmengen, führen Datenquellen zusammen, sorgen für die Konsistenz der Datensätze und erstellen Visualisierungen, um die Daten zu veranschaulichen. Sie erstellen anhand der Daten mathematische Modelle, präsentieren und vermitteln datenbezogene Erkenntnisse an Experten und Wissenschaftler in ihrem Team sowie ggf. an eine nicht fachkundige Öffentlichkeit und geben Empfehlungen zur Verwendung der Daten ab.",ESCO
HR-Manager/in,1212,12.0,68.0,Verwaltung,115000,Tertiär,http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb,Personalberater/Personalberaterin,"Personalberater entwickeln und implementieren Strategien, die ihren Arbeitgebern dabei helfen, im jeweiligen Wirtschaftssektor angemessen qualifizierte Mitarbeiter auszuwählen und an das Unternehmen zu binden. Sie stellen Personal ein, verfassen Stellenanzeigen, führen Vorstellungsgespräche und nehmen Bewerber in die engere Wahl auf, führen Verhandlungen mit Arbeitsagenturen und legen Arbeitsbedingungen fest. Außerdem verwalten Personalberater die Löhne und Gehälter, überprüfen diese und leisten Beratung in Bezug auf Vergütung und Arbeitsrecht. Sie organisieren Weiterbildungsmöglichkeiten, um die Leistungen der Arbeitnehmer zu steigern.",ESCO
Immobilienbewirtschafter/in,3334,12.0,45.0,Immobilien,88000,Sekundär II,http://data.europa.eu/esco/occupation/dd935705-d703-40ba-9ba7-2a8a2b7651b4,Hausverwalter/Hausverwalterin,"Hausverwalter beaufsichtigen oder erbringen Dienstleistungen für Mieter bzw. Bewohner. Sie sind für Wohnungsbaugesellschaften oder private Einrichtungen tätig. Hausverwalter ziehen die Mieten ein, inspizieren Immobilien, kümmern sich um Reparaturen und Nachbarschaftsstreitigkeiten, stehen mit den Mietern in Verbindung, verwalten Wohnungsanträge und stehen in Kontakt mit den örtlichen Behörden und den Immobilienverwaltern. Sie beschäftigen, schulen und überwachen das Personal.",ESCO
Psychologe/-pädagogin,2634,12.0,72.0,Gesundheit,90000,Tertiär,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin,"Psychologen untersuchen das Verhalten und die mentalen Prozesse beim Menschen. Sie bieten Dienstleistungen für Kunden an, die unter psychischen Problemen und schwierigen Lebenssituationen leiden, z. B. Trauer um einen Verstorbenen, Beziehungsschwierigkeiten, häusliche Gewalt und sexueller Missbrauch. Sie bieten auch Beratung für psychische Erkrankungen wie Essstörungen, posttraumatische Belastungsstörungen und Psychosen an, um den Patienten zu helfen, sich zu erholen und ein gesundes Verhalten zu erlangen.",ESCO
Naturwissenschaftler/in (Biologie/Chemie),2113,12.0,45.0,Industrie,105000,Tertiär,http://data.europa.eu/esco/occupation/1b123879-8f0d-4793-8069-3dc21a08921a,Applikationsspezialist Chemie/Applikationsspezialistin Chemie,Applikationsspezialisten Chemie/Applikationsspezialistinnen Chemie entwickeln kundenspezifische chemische Erzeugnisse. Sie leiten die Entwicklung von Formulierungen und Formulierungsverfahren und die Bewertung der Effizienz und Leistung der Formulierungen.,ESCO
Automatiker/in EFZ,3115,12.0,5.0,Industrie,82000,Sekundär II,http://data.europa.eu/esco/occupation/5791a961-4717-4230-a245-a4082a675f04,Techniker Automatisierungstechnik/Technikerin Automatisierungstechnik,"Techniker Automatisierungstechnik entwickeln in Zusammenarbeit mit Ingenieuren Anwendungen und Systeme für die Automatisierung von Produktionsprozessen. Techniker Automatisierungstechnik bauen, testen, überwachen und warten die computergesteuerten Systeme, die in automatisierten Produktionssystemen verwendet werden.",ESCO
Sicherheitsbeauftragter/-beauftragte,5414,12.0,15.0,Sicherheit,65000,Sekundär II,http://data.europa.eu/esco/occupation/c8ee6499-7613-4c02-9edf-2a0edcf47705,Sicherheitsbeauftragter Luftverkehr/Sicherheitsbeauftragte Luftverkehr,"Sicherheitsbeauftragte Luftverkehr planen und entwickeln Sicherheitsverfahren für Luftfahrtunternehmen. Sie kennen die für den Luftverkehr geltenden Sicherheitsvorschriften und Beschränkungen. Auf dieser Grundlage leiten sie das Personal an, um die vorschriftsgemäße Einhaltung der Sicherheitsmaßnahmen zu gewährleisten.",ESCO
Zahnarzt/-ärztin,2261,12.0,48.0,Gesundheit,160000,Tertiär,http://data.europa.eu/esco/occupation/e52b5707-7097-4dbc-ac61-054e917da241,Zahnarzt/Zahnärztin,"Zahnärzte/Zahnärztinnen verhindern, diagnostizieren und behandeln Anomalien und Erkrankungen der Zähne, des Mundes, des Kiefers und der angrenzenden Gewebe.",ESCO
Lernbetreuer,5312,11.8,84.9,Soziales,58000,Sekundär II,http://data.europa.eu/esco/occupation/3d0f86c1-9bdd-4e84-bc62-93a716128c8d,Lerncoach,"Lerncoaches unterstützen Schülerinnen und Schüler mit unterdurchschnittlichen Leistungen sowohl innerhalb als auch außerhalb des Unterrichts, um ihren schulischen Erfolg zu steigern. Sie helfen Schülerinnen und Schülern, die (vielfältige) Nachteile wie Lernschwierigkeiten, Verhaltensauffälligkeiten und Anwesenheitsprobleme haben und unterstützen zudem begabte Schülerinnen und Schüler, die sich unterfordert fühlen. Sie können auch in der Hochschulbildung mit erwachsenen Studierenden arbeiten. Lerncoaches entwickeln gemeinsam mit den Schülerinnen und Schülern Zeit- und Maßnahmenpläne, um die erforderlichen Coaching-Aktivitäten zu planen und die Fortschritte nachzuverfolgen. Außerdem tauschen sie sich mit den Lehrkräften, den Schulpsychologen/-psychologinnen, den Schulsozialarbeitern/-arbeiterinnen und gegebenenfalls den Erziehungsberechtigten der aus, um den schulischen Werdegang der Schülerinnen und Schüler zu verbessern.",ESCO
Physiotherapeutische Techniker und Assistenten,3255,11.7,85.3,Gesundheit,68000,Sekundär II,http://data.europa.eu/esco/occupation/f88124d7-ee7e-4d21-9036-0658b496c119,Physiotherapieassistent/Physiotherapieassistentin,"Physiotherapieassistenten arbeiten unter Aufsicht und innerhalb festgelegter Bedingungen unter Einsatz vereinbarter Behandlungsprotokolle und -verfahren. Beispielsweise sammeln sie Patientendaten und warten die Ausrüstung, die für die Maßnahmen im Bereich der Physiotherapie eingesetzt wird. Die Gesamtverantwortung liegt bei der Fachkraft, die ihnen Aufgaben zuweist.",ESCO
"Führer von Erdbewegungs- und verwandten Maschinen, Strassenbau und Baumaschinen",8342,11.7,,Transport,62000,Sekundär II,http://data.europa.eu/esco/occupation/5f68c4c3-9d25-48e2-8efc-5471a80fb155,Straßenbaumaschinenführer/Straßenbaumaschinenführerin,"Straßenbaumaschinenführer führen den Straßenbau bei Erdarbeiten, Unterbauarbeiten und im Bereich des Straßenbelags durch. Sie bedecken den verdichteten Boden mit einer oder mehreren Schichten. Straßenbaumaschinenführer bringen eine stabilisierende Schicht aus Sand oder Ton auf, bevor Asphalt- oder Betonplatten hinzugefügt werden, um eine Straße fertigzustellen.",ESCO
Boden- und Fliesenleger,7122,11.2,,Bau,74000,Sekundär II,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,Platten- und Fliesenleger/Platten- und Fliesenlegerin,"Platten- und Fliesenleger bringen Fliesen auf Wände und Böden an. Sie schneiden die Fliesen auf die richtige Größe und Form zu, bereiten die Oberfläche vor und setzen die Fliesen bündig und gerade ein. Bisweilen übernehmen Platten- und Fliesenleger kreative und künstlerische Projekte, und einige verlegen Mosaiken.",ESCO
Führungskräfte in Unternehmenspolitik und -planung,1213,11.1,33.0,Verwaltung,120000,Tertiär,http://data.europa.eu/esco/occupation/64e38ce7-3901-4261-bfee-77c7a77397f2,Führungskraft im Bereich der Unternehmenspolitik,"Führungskräfte im Bereich der Unternehmenspolitik leiten die Entwicklung politischer Programme und sind für die Gewährleistung der Einhaltung der strategischen Ziele der Einrichtung verantwortlich. Sie beaufsichtigen die Produktion politischer Stellungnahmen sowie die Kampagnen- und Interessenvertretungstätigkeiten der Einrichtung, z. B. in Umwelt-, Ethik-, Qualitäts-, Transparenz- und Nachhaltigkeitsfragen.",ESCO
Hilfsarbeiter im Tiefbau,9312,10.4,3.0,Industrie,54000,Keine Ausbildung,http://data.europa.eu/esco/occupation/47300afa-5496-484c-8f65-14247a98b2b8,Tiefbauhelfer/Tiefbauhelferin,"Tiefbauhelfer übernehmen Aufgaben zur Reinigung und Vorbereitung von Baustellen für Bauprojekte. Dazu gehören Arbeiten im Bereich des Baus und der Instandhaltung von Straßen, Eisenbahnen und Dämmen.",ESCO
Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens,1345,10.3,54.7,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/3c136897-4e0e-41ef-bb57-d8152323b93a,Führungskraft für Unternehmensdienstleistungen,"Führungskräfte für Unternehmensdienstleistungen sind für die Erbringung professioneller Dienstleistungen an Unternehmen zuständig. Sie organisieren die Erbringung maßgeschneiderter Dienstleistungen und tauschen sich mit den Kunden aus, um die vertraglichen Verpflichtungen beider Parteien zu vereinbaren.",ESCO
Empfangskräfte (allgemein),4226,10.3,83.5,Verwaltung,68000,Sekundär II,http://data.europa.eu/esco/occupation/f00154a5-d27f-429e-b9a4-1d65c672cee7,Empfangskraft für Tierarztpraxis,"Empfangskräfte für Tierarztpraxen begrüßen Kunden und führen Verwaltungstätigkeiten aus, vereinbaren Termine und nehmen Patienten auf, verkaufen Produkte für Tiere und leisten entsprechende Produktberatung. Dabei befolgen sie die nationalen Rechtsvorschriften. ",ESCO
Einkäufer,3323,10.3,41.1,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/29fa406d-de89-4515-be8d-0fe7bda993f1,Einkäufer/Einkäuferin,"Einkäufer wählen und erwerben Lagervorräte, Rohmaterialien, Dienstleistungen oder Waren. Sie organisieren Ausschreibungsverfahren und wählen Lieferanten aus.",ESCO
Journalisten,2642,10.2,48.5,Medien,88000,Tertiär,http://data.europa.eu/esco/occupation/a47f82d3-4cf7-4abf-bb36-2c8cbad28234,Journalist/Journalistin,"Journalisten recherchieren, verifizieren und verfassen Reportagen für Zeitungen, Zeitschriften, Fernsehen und andere Medien. Sie behandeln politische, wirtschaftliche, kulturelle, soziale und sportliche Ereignisse. Um objektive Informationen zu liefern, müssen Journalisten einen ethischen Verhaltenskodex einhalten, der das Recht auf freie Meinungsäußerung, das Recht auf Gegendarstellung, das Presserecht und redaktionelle Standards vorschreibt.",ESCO
Baumetallverformer und Metallbauer,7214,10.1,1.9,Industrie,78000,Sekundär II,http://data.europa.eu/esco/occupation/691ec040-f5ad-47ef-8698-03212d66dbbf,Metallbauer – Konstruktionstechnik/Metallbauerin – Konstruktionstechnik,"Metallbauer – Konstruktionstechnik stellen Metallbaukonstruktionen her. Sie errichten Stahlkonstruktionen für Gebäude, Brücken und andere Bauvorhaben. Mithilfe von Bewehrungsstahl stellen sie Stahlbeton her.",ESCO
Chemieingenieur/in / Verfahrenstechniker/in,2145,10.0,25.0,Industrie,118000,Tertiär,http://data.europa.eu/esco/occupation/ec21ce88-ce14-49b6-be0a-cc53cf5a3a67,Chemieingenieur/Chemieingenieurin,"Chemieingenieure/Chemieingenieurinnen entwerfen und entwickeln chemische und physikalische Großmengen-Herstellungsverfahren und sind in den gesamten industriellen Prozess eingebunden, der für die Umwandlung von Rohstoffen in Produkte erforderlich ist.",ESCO
Mechatroniker/in EFZ,7421,10.0,4.0,Industrie,85000,Sekundär II,http://data.europa.eu/esco/occupation/0ec62c2e-30c9-434e-bf36-5277a0840450,Kraftfahrzeugmechatroniker in der Fahrzeugmodernisierung/Kraftfahrzeugmechatronikerin in der Fahrzeugmodernisierung,"Kraftfahrzeugmechatroniker in der Fahrzeugmodernisierung übernehmen die Reparatur und Instandsetzung der Innenteile von Fahrzeugen, beispielsweise Motorteile und Dieseleinspritzpumpen.",ESCO
Marketing-/Kommunikationsleiter/in,1222,10.0,52.0,Verwaltung,120000,Tertiär,http://data.europa.eu/esco/occupation/9a6d8a84-a8a9-4c9b-9ead-59a710e93759,Lehrkraft für Wirtschaft und Marketing,"Lehrkräfte für Wirtschaft und Marketing unterrichten Schülerinnen und Schüler in ihrem Fachgebiet, d. h. Wirtschaft und Marketing, was überwiegend praktischer Natur ist. Sie vermitteln theoretische Kenntnisse, um die praktischen Fertigkeiten und Techniken zu fördern, die die Schüler/Schülerinnen später beherrschen müssen, um in einem Wirtschafts- und Marketingberuf zu arbeiten. Lehrkräfte für Wirtschaft und Marketing überwachen die Fortschritte der Schülerinnen und Schüler, helfen bei Bedarf individuell und bewerten ihr Wissen und ihre Leistungen mithilfe von Aufgaben, Tests und Prüfungen.",ESCO
Versicherungsexperte/-expertin,2422,10.0,38.0,Versicherungen,115000,Tertiär,http://data.europa.eu/esco/occupation/3d190639-90f8-4402-b1b3-a104a17e0d67,Experte für Datenintegration/Expertin für Datenintegration,Experten für Datenintegration führen die Integration verschiedener Datenbanken durch. Sie pflegen die Integration und gewährleisten Interoperabilität.,ESCO
Chemielaborant/in EFZ,3113,10.0,45.0,Industrie,78000,Sekundär II,http://data.europa.eu/esco/occupation/87775d69-ae88-449e-ad71-6f9875711816,Chemielaborant/Chemielaborantin,"Chemielaboranten überwachen chemische Prozesse und analysieren chemische Stoffe für Produktions- oder wissenschaftliche Zwecke. Sie arbeiten in Labors oder Produktionsstätten, in denen sie Chemiker bei ihrer Arbeit unterstützen. Chemielaboranten üben Labortätigkeiten aus, testen chemische Stoffe, analysieren Daten und berichten über die Ergebnisse ihrer Arbeit.",ESCO
Bauführer/in,3123,10.0,8.0,Bau,105000,Tertiär,http://data.europa.eu/esco/occupation/0f5cc4eb-925d-4b99-be6d-b0964a253a9a,Bautechniker/Bautechnikerin,"Bautechniker unterstützen die Planung und Ausführung von Bauplänen und übernehmen organisatorische Aufgaben, z. B. bei der Planung und Überwachung sowie bei der Abgabe von Angeboten und der Abrechnung von Bauleistungen. Außerdem berechnen sie den Materialbedarf, tragen zur Beschaffung und Organisation bei und sorgen dafür, dass die Qualität der Baustoffe gewährleistet ist. Bisweilen übernehmen Bautechniker auch technische Aufgaben im Bereich Hoch- und Tiefbau oder beraten im Hinblick auf politische Durchführungsstrategien für Straßenbauarbeiten, das Aufstellen von Ampeln sowie Abwasserbehandlungs- und Wasserwirtschaftssysteme.",ESCO
Grafiker/in,2166,10.0,45.0,Medien,80000,Tertiär,http://data.europa.eu/esco/occupation/96e20037-0a25-4bf6-a25e-808d1605d890,Multimedia-Designer/Multimedia-Designerin,"Multimedia-Designer sind für die Gestaltung der Benutzeroberflächen für Anwendungen und Systeme zuständig. Sie gestalten das Layout, die Grafiken und die Dialoge sowie die Anpassungsmöglichkeiten.",ESCO
Hauswirtschaftler/in EFZ,5131,10.0,92.0,Dienstleistungen,52000,Sekundär II,http://data.europa.eu/esco/occupation/6d50f735-dca9-4a02-96dc-e4310ed98ae2,Hauswirtschafter Privathaushalt/Hauswirtschafterin Privathaushalt,"Hauswirtschafter im Privathaushalt sind für alle Hausarbeiten in einem Privathaushalt verantwortlich. Sie beaufsichtigen und übernehmen Aufgaben je nach Bedarf des Arbeitgebers (z. B. Kochen, Reinigen und Waschen), betreuen die Kinder und pflegen den Garten. Sie bestellen Einkäufe und verwalten die ihnen zugewiesene Haushaltskasse. In großen Haushalten führen Hauswirtschafter im Privathaushalt bisweilen die Aufsicht über das Hauspersonal und erteilen ihm Anweisungen.",ESCO
